project_path,project_id
gitlab-com/gl-security/engineering-and-research/automation-team/secret-revocation-service,22129338
gitlab-com/gl-security/engineering-and-research/misp-aws-terraform,9023126
gitlab-com/gl-security/engineering-and-research/automation-team/okta-tools,13327671
gitlab-com/gl-security/security-operations/trust-and-safety/requested-pages-tracker,2023185
gitlab-com/gl-security/security-operations/trust-and-safety/dmca/Abuse-DMCA,12844271
gitlab-org/security-products/zaproxy,5576532
gitlab-com/gl-security/security-operations/trust-and-safety/tor-utility,16725376
gitlab-com/security-tools/gcp-asset-auditor,6841833
gitlab-com/security-tools/inspector,17291125
gitlab-org/secure/vulnerability-research/advisories/cves-private,17992812
gitlab-com/gl-security/appsec/appsec-team,16258489
gitlab-com/customer-success/sa-triage-boards/apac-triage,12088168
gitlab-com/gl-security/security-assurance/tools/chef-data-bags-audit,15958906
gitlab-com/gl-security/security-operations/gl-redteam/red-team-research/gcp_exploitation,16302582
gitlab-com/gl-security/security-operations/trust-and-safety/abuse-metrics,22541245
gitlab-com/gl-security/security-guidelines,14123810
gitlab-org/secure/vulnerability-research/workflow-tools/bumper,14158369
gitlab-com/gl-security/engineering-and-research/automation-team/snative,17242983
gitlab-org/secure/vulnerability-research/pocs/ctags4ruby,21796485
gitlab-com/zoom-sync,11626101
gitlab-com/gl-security/security-operations/sirt/infrastructure-vulnerability-management,17192788
gitlab-com/gl-security/security-operations/trust-and-safety/ci-abuse-early-alerting,15785016
gitlab-org/security-products/demos/imports,21939352
gitlab-com/business-ops/team-member-enablement/it-ops-issue-tracker,10649850
gitlab-com/gl-security/security-assurance/field-security-team/fslabs,19713165
gitlab-org/security-products/analyzers/license-finder,18446184
gitlab-com/gl-security/security-operations/trust-and-safety/ci-abuse-detection,12388345
gl-security/security-operations/sirt/security-enclave/terraform-modules/gitlab-gke,16507839
gitlab-com/gl-security/engineering-and-research/automation-team/gcp-access-review,16420592
gitlab-org/secure/vulnerability-research/pocs/taggr,22566258
gitlab-com/gl-infra/infrastructure,1304532
gitlab-com/gl-security/security-operations/gl-redteam/secret-scanning,17175031
gitlab-com/gl-security/security-operations/trust-and-safety/abuse-ml-handler,13608636
gitlab-com/marketing/corporate_marketing/corporate-marketing,10268953
gitlab-com/gl-security/security-operations/sirt/panther,20089141
gitlab-com/gl-security/security-managers/security-shadow-program,22135186
gitlab-com/gl-security/security-research/package-hunter,19722470
